use,var,units,description
0,plot.idi.y,,plot id
0,Site.x,,site name
0,PLHDPlotName.x,,plot name
0,DMTRTreeTag,,tree tag
0,DMTRSpeciesCode,,species code
0,location,,location
0,dbh1,mm,diameter at breast height at date 1
0,dbh2,mm,diameter at breast height at date 2
0,year1,year,year of measurment 1
0,year2,year,year of measurment 1
0,PLHDAltitude,m,Plot altitude
